code,name,avg_roe,avg_margin,avg_net_margin,ocf_ni,years,score
002916,深南电路,15.8,25.2,11.4,1.62,5,41.6
603230,内蒙新华,13.3,39.6,15.6,1.32,5,41.6
002601,龙佰集团,14.7,29.0,12.5,1.55,5,41.6
002550,千红制药,12.1,47.9,15.9,1.17,5,41.5
603855,华荣股份,21.6,49.7,12.6,0.95,5,41.5
300833,浩洋股份,12.3,49.5,24.1,0.97,5,41.5
600389,江山股份,25.1,20.3,10.8,1.48,5,41.5
300308,中际旭创,22.4,32.7,19.5,1.12,5,41.5
002821,凯莱英,13.1,45.4,23.4,1.03,5,41.4
002020,京新药业,13.0,52.0,17.6,1.02,5,41.4
605056,咸亨国际,13.0,33.5,7.4,1.6,5,41.4
300722,新余国科,13.1,46.3,19.2,1.1,5,41.4
603091,众鑫股份,21.9,32.5,16.7,1.19,5,41.3
301277,新天地,17.5,38.2,21.8,1.08,5,41.3
300470,中密控股,13.9,49.3,24.6,0.9,5,41.3
603004,鼎龙科技,13.7,35.4,20.0,1.27,5,41.2
002032,苏 泊 尔,32.3,24.9,9.7,1.18,5,41.0
301255,通力科技,13.5,27.5,15.9,1.51,5,41.0
301322,绿通科技,22.8,28.1,16.3,1.24,5,41.0
603979,金诚信,15.7,29.9,13.5,1.44,5,40.9
000672,上峰材料,12.7,32.0,15.2,1.44,5,40.9
301276,嘉曼服饰,13.9,60.8,14.2,0.85,5,40.9
600385,退市金泰,19.9,56.5,11.3,0.84,5,40.9
301061,匠心家居,18.4,34.8,22.3,1.09,5,40.8
300677,英科医疗,16.1,27.2,17.5,1.4,5,40.8
002831,裕同科技,13.2,24.4,8.9,1.7,5,40.7
002463,沪电股份,20.6,31.7,17.3,1.17,5,40.6
002737,葵花药业,14.4,51.3,11.5,1.06,5,40.5
300037,新宙邦,15.6,29.4,15.1,1.39,5,40.5
603277,银都股份,18.1,41.2,18.1,1.03,5,40.5
603299,苏盐井神,12.2,32.9,12.1,1.48,5,40.5
600486,扬农化工,16.6,23.9,11.5,1.55,5,40.5
300341,麦克奥迪,12.5,42.6,12.6,1.26,5,40.5
000799,酒鬼酒,13.5,74.8,13.8,0.56,5,40.4
603297,永新光学,14.6,40.3,28.0,0.93,5,40.3
002810,山东赫达,14.5,30.6,14.9,1.39,5,40.3
001400,江顺科技,32.2,34.9,13.1,0.87,5,40.3
301028,鼎熔岩,16.1,31.4,19.1,1.25,5,40.3
600406,国电南瑞,16.0,26.6,14.3,1.43,5,40.2
600205,S山东铝,31.5,30.6,16.7,0.9,5,40.2
603938,三孚股份,15.5,25.3,12.9,1.5,5,40.1
301538,骏鼎达,21.4,43.1,20.8,0.82,5,40.0
002756,永兴材料,27.0,28.1,21.0,0.96,5,40.0
300969,恒帅股份,17.3,33.9,20.2,1.12,5,40.0
301110,青木科技,13.2,47.0,9.2,1.18,5,39.9
301367,瑞迈特,19.5,46.5,22.9,0.75,5,39.9
301680,固德电材,22.9,30.7,14.2,1.15,5,39.9
001312,福恩股份,31.4,28.3,14.8,0.96,4,39.9
600600,青岛啤酒,15.4,38.9,12.8,1.21,5,39.8
600933,爱柯迪,12.1,28.1,14.4,1.48,5,39.8
603337,杰克科技,15.3,29.4,10.8,1.44,5,39.8
603027,千禾味业,13.7,37.8,14.5,1.23,5,39.7
301318,维海德,12.4,45.1,18.7,1.04,5,39.7
300797,钢研纳克,12.2,46.8,11.3,1.16,5,39.7
600690,海尔智家,17.1,29.7,6.4,1.46,5,39.6
300395,菲利华,13.8,48.2,25.6,0.79,5,39.5
603848,好太太,12.5,47.9,17.1,1.0,5,39.5
001223,欧克科技,17.4,36.9,24.7,0.93,5,39.4
603659,璞泰来,15.2,32.7,16.4,1.24,5,39.4
300784,利安科技,19.5,29.8,13.9,1.23,5,39.4
301393,昊帆生物,17.0,40.7,26.5,0.82,5,39.3
002158,汉钟精机,20.3,36.7,19.6,0.95,5,39.3
603173,福斯达,23.8,23.1,10.5,1.32,5,39.3
605005,合兴股份,13.0,31.4,13.4,1.38,5,39.3
601888,中国中免,15.8,31.7,11.2,1.33,5,39.2
000063,中兴通讯,12.8,36.4,6.2,1.42,5,39.2
603228,景旺电子,12.1,22.6,9.2,1.65,5,39.2
600993,马应龙,13.9,44.1,14.5,1.06,5,39.1
000333,美的集团,21.9,25.2,9.1,1.34,5,39.1
000651,格力电器,23.6,28.0,14.4,1.13,5,39.1
000786,北新建材,15.6,29.9,15.0,1.29,5,39.0
603290,斯达半导,13.8,34.4,20.8,1.12,5,38.9
003000,劲仔食品,15.9,28.1,9.7,1.41,5,38.9
603102,百合股份,12.3,37.4,18.6,1.14,5,38.9
601965,中国汽研,13.5,42.2,21.2,0.97,5,38.9
301181,标榜股份,13.4,33.0,23.1,1.11,5,38.9
601636,旗滨集团,13.8,25.0,11.1,1.49,5,38.8
603310,巍华新材,21.6,38.1,27.5,0.7,5,38.8
605089,味知香,12.8,24.2,15.0,1.46,5,38.8
600113,浙江东日,12.9,39.1,36.0,0.73,5,38.7
301333,诺思格,12.8,37.4,18.5,1.12,5,38.7
301628,强达电路,21.8,29.7,12.3,1.16,5,38.7
600329,达仁堂,19.4,49.2,21.4,0.64,5,38.6
605016,百龙创园,14.1,33.5,21.4,1.1,5,38.6
300910,瑞丰新材,19.7,33.2,20.7,0.97,5,38.6
603119,浙江荣泰,22.0,35.3,20.5,0.87,5,38.6
002351,漫步者,15.0,36.9,15.4,1.13,5,38.6
605305,中际联合,12.5,46.0,23.4,0.85,5,38.6
300979,华利集团,24.6,25.5,15.3,1.09,5,38.4
603279,景津装备,19.5,28.7,13.5,1.19,5,38.3
603275,众辰科技,17.8,41.4,29.4,0.66,5,38.3
603025,大豪科技,23.1,41.2,24.9,0.61,5,38.3
300782,卓胜微,12.0,44.4,20.4,0.93,5,38.2
300316,晶盛机电,23.8,36.7,22.0,0.73,5,38.1
001358,兴欣新材,22.7,34.5,19.6,0.85,5,38.0
301446,福事特,21.0,38.1,21.0,0.79,5,38.0
301611,珂玛科技,21.2,47.0,23.8,0.54,5,37.9
300820,英杰电气,17.3,38.4,21.8,0.86,5,37.9
301029,怡合达,17.3,38.6,19.0,0.91,5,37.9
300476,胜宏科技,17.4,23.4,12.1,1.35,5,37.9
600183,生益科技,15.6,23.3,10.7,1.43,5,37.9
001256,炜冈科技,12.0,32.9,21.1,1.12,5,37.8
600301,华锡有色,12.0,28.9,16.3,1.29,5,37.8
603170,宝立食品,23.5,33.0,11.3,1.0,5,37.8
601928,凤凰传媒,12.5,38.4,16.7,1.09,5,37.8
603599,广信股份,17.0,36.9,22.5,0.88,5,37.8
300124,汇川技术,21.2,32.4,15.6,0.98,5,37.7
002216,三全食品,17.3,25.9,9.4,1.34,5,37.6
605183,确成股份,14.6,32.0,22.3,1.03,5,37.6
300373,扬杰科技,14.7,33.8,18.0,1.07,5,37.5
300452,山河药辅,17.4,30.6,16.8,1.09,5,37.5
002991,甘源食品,15.1,35.2,13.4,1.13,5,37.5
002925,盈趣科技,12.1,29.1,13.3,1.33,5,37.5
300997,欢乐家,14.0,34.4,10.1,1.23,5,37.4
605580,恒盛能源,17.1,25.9,16.3,1.2,5,37.4
301287,康力源,15.8,29.9,12.9,1.21,5,37.3
001368,通达创智,14.6,25.6,12.1,1.34,5,37.3
301668,昊创瑞通,30.1,26.7,12.6,0.9,5,37.3
002597,金禾实业,14.3,24.7,14.9,1.32,5,37.3
300880,迦南智能,15.6,29.6,16.2,1.15,5,37.3
001328,登康口腔,16.6,45.7,10.4,0.91,5,37.1
600872,中炬高新,14.4,35.6,13.8,1.1,5,37.1
603100,川仪股份,17.8,34.3,9.8,1.12,5,37.1
002130,沃尔核材,16.2,32.0,12.8,1.14,5,37.1
301585,蓝宇股份,20.2,37.8,21.0,0.76,5,37.1
603882,金域医学,16.3,39.0,7.4,1.11,5,37.0
301195,北路智控,15.3,46.8,21.5,0.69,5,36.9
